id,question,A,B,C,Answerkey
51,What's your name?,My name is Edison.,I'm fine.,He is Edison.,A
52,How old are you?,I'm eight years old.,You're welcome.,It's eight.,A
53,What's this?,It's a pen.,I'm Rocky.,"No, it isn't.",A
54,What color is it?,It's red.,It's a pencil.,"Yes, it is.",A
55,What's that?,It's a marker.,I can dance.,I'm Mia.,A
56,Is that a cat?,"Yes, it is.","Yes, I am.","No, I can't.",A
57,What can you do?,I can sing.,She is short.,It's a big cat.,A
58,Can you jump?,"Yes, I can.","No, he isn't.","Yes, it is.",A
59,Who's she?,She's my mother.,He's my father.,I'm fine.,A
60,Who's he?,He's my brother.,She's my sister.,It's a dog.,A
61,Are you a student?,"No, I'm not.","Yes, he is.","No, it isn't.",A
62,Is he a doctor?,"Yes, he is.","Yes, she is.",I'm a student.,A
63,Is she a teacher?,"No, she's not.","Yes, he is.",I'm a teacher.,A
64,What's your name?,I am Abu.,I'm nine.,He is Abu.,A
65,How are you?,"I'm fine, thank you.",I'm ten.,Good morning.,A
66,How old are you?,I'm fifteen.,Thank you.,It's fifteen.,A
67,What's this?,It's a ruler.,It's yellow.,I'm Edison.,A
68,What color is it?,It's white.,It's an eraser.,"Yes, it is.",A
69,Is it a big dog?,"No, it's not.","Yes, I am.","No, he's not.",A
70,What can you do?,I can write.,He can swim.,She is a cook.,A
71,Can you read?,"Yes, I can.","No, it's not.","Yes, she is.",A
72,Who's she?,She's my grandmother.,He's my grandfather.,I'm Amber.,A
73,Is he tall?,"No, he's not.","Yes, she is.","No, it's not.",A
74,Is she short?,"Yes, she is.","No, he isn't.","Yes, I can.",A
75,Is he a nurse?,"No, he's not.","No, she's not.",I'm a nurse.,A
76,Is she a cook?,"Yes, she is.","Yes, he is.","No, I'm not.",A
77,What's that?,It's a pencil.,I'm ten.,It's blue.,A
78,What's your name?,I'm Rocky.,I'm fine.,It's Rocky.,A
79,How old are you?,I'm eleven years old.,You're welcome.,He is eleven.,A
80,What color is it?,It's black.,It's a black pen.,"No, it isn't.",A
81,Is that a bird?,"No, it's not.","No, I'm not.",He's my father.,A
82,What can you do?,I can draw.,She is my sister.,It's a book.,A
83,Can you swim?,"No, I can't.",I can swim.,"Yes, it is.",A
84,Who's he?,He's my grandfather.,She's my grandmother.,I'm a student.,A
85,Is he a driver?,"No, he's not.","No, I'm not.",It's a big car.,A
86,Are you a doctor?,"Yes, I am.","No, he's not.","Yes, she is.",A
87,What's this?,It's an eraser.,It's green.,I'm Mia.,A
88,How are you?,I'm fine.,Nice to meet you.,Goodbye.,A
89,Nice to meet you.,"Nice to meet you, too.",Thank you.,Try again.,A
90,What color is it?,It's orange.,It's an orange.,"Yes, it is.",A
91,Is it a small cat?,"Yes, it is.","Yes, I can.","No, she isn't.",A
92,What can you do?,I can swim.,He can read.,I am a cook.,A
93,Can you dance?,"No, I can't.",I can dance.,"Yes, she is.",A
94,Who's she?,She's my sister.,He's my brother.,She is tall.,A
95,Is he a teacher?,"Yes, he is.","No, she isn't.","Yes, I am.",A
96,Is she a student?,"No, she's not.","Yes, I am.","No, he's not.",A
97,What's your name?,My name is Amber.,I'm six.,He is Amber.,A
98,How old are you?,I'm fourteen.,I'm fine.,It's fourteen.,A
99,What's that?,It's a book.,I'm Edison.,It's yellow.,A
100,Is he your father?,"No, he's not.","Yes, she is.",I'm his father.,A
